[2019-02-25 21:02:57,290][INFO][epoch:53	loss:tensor(0.2371, device='cuda:0')]
[2019-02-25 21:02:57,678][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:03:12,526][INFO][epoch:54	loss:tensor(0.2325, device='cuda:0')]
[2019-02-25 21:03:12,934][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:03:27,830][INFO][epoch:55	loss:tensor(0.2364, device='cuda:0')]
[2019-02-25 21:03:28,234][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:03:43,109][INFO][epoch:56	loss:tensor(0.2344, device='cuda:0')]
[2019-02-25 21:03:43,500][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:03:58,549][INFO][epoch:57	loss:tensor(0.2326, device='cuda:0')]
[2019-02-25 21:03:58,946][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:04:13,824][INFO][epoch:58	loss:tensor(0.2354, device='cuda:0')]
[2019-02-25 21:04:14,227][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:04:29,224][INFO][epoch:59	loss:tensor(0.2376, device='cuda:0')]
[2019-02-25 21:04:29,625][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:04:44,566][INFO][epoch:60	loss:tensor(0.2317, device='cuda:0')]
[2019-02-25 21:04:44,964][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:05:00,157][INFO][epoch:61	loss:tensor(0.2328, device='cuda:0')]
[2019-02-25 21:05:00,565][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:05:15,499][INFO][epoch:62	loss:tensor(0.2322, device='cuda:0')]
[2019-02-25 21:05:15,920][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:05:31,057][INFO][epoch:63	loss:tensor(0.2316, device='cuda:0')]
[2019-02-25 21:05:31,458][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:05:46,386][INFO][epoch:64	loss:tensor(0.2328, device='cuda:0')]
[2019-02-25 21:05:46,777][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:06:01,841][INFO][epoch:65	loss:tensor(0.2342, device='cuda:0')]
[2019-02-25 21:06:02,241][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:06:17,144][INFO][epoch:66	loss:tensor(0.2326, device='cuda:0')]
[2019-02-25 21:06:17,560][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:06:32,618][INFO][epoch:67	loss:tensor(0.2324, device='cuda:0')]
[2019-02-25 21:06:33,008][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:06:47,850][INFO][epoch:68	loss:tensor(0.2326, device='cuda:0')]
[2019-02-25 21:06:48,262][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:07:03,292][INFO][epoch:69	loss:tensor(0.2287, device='cuda:0')]
[2019-02-25 21:07:03,691][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:07:18,612][INFO][epoch:70	loss:tensor(0.2326, device='cuda:0')]
[2019-02-25 21:07:19,025][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:07:34,101][INFO][epoch:71	loss:tensor(0.2335, device='cuda:0')]
[2019-02-25 21:07:34,499][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:07:49,360][INFO][epoch:72	loss:tensor(0.2299, device='cuda:0')]
[2019-02-25 21:07:49,776][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:08:04,811][INFO][epoch:73	loss:tensor(0.2312, device='cuda:0')]
[2019-02-25 21:08:05,215][INFO][LCC:tensor(5.5657e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:08:20,130][INFO][epoch:74	loss:tensor(0.2321, device='cuda:0')]
[2019-02-25 21:08:20,546][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:08:35,553][INFO][epoch:75	loss:tensor(0.2366, device='cuda:0')]
[2019-02-25 21:08:35,971][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:08:50,876][INFO][epoch:76	loss:tensor(0.2298, device='cuda:0')]
[2019-02-25 21:08:51,280][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:09:06,349][INFO][epoch:77	loss:tensor(0.2331, device='cuda:0')]
[2019-02-25 21:09:06,762][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:09:21,675][INFO][epoch:78	loss:tensor(0.2311, device='cuda:0')]
[2019-02-25 21:09:22,082][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:09:37,247][INFO][epoch:79	loss:tensor(0.2295, device='cuda:0')]
[2019-02-25 21:09:37,639][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:09:52,580][INFO][epoch:80	loss:tensor(0.2312, device='cuda:0')]
[2019-02-25 21:09:52,979][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:10:08,055][INFO][epoch:81	loss:tensor(0.2301, device='cuda:0')]
[2019-02-25 21:10:08,452][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:10:23,308][INFO][epoch:82	loss:tensor(0.2354, device='cuda:0')]
[2019-02-25 21:10:23,699][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:10:38,728][INFO][epoch:83	loss:tensor(0.2299, device='cuda:0')]
[2019-02-25 21:10:39,122][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:10:54,077][INFO][epoch:84	loss:tensor(0.2299, device='cuda:0')]
[2019-02-25 21:10:54,488][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:11:09,542][INFO][epoch:85	loss:tensor(0.2304, device='cuda:0')]
[2019-02-25 21:11:09,962][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:11:24,877][INFO][epoch:86	loss:tensor(0.2335, device='cuda:0')]
[2019-02-25 21:11:25,306][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:11:40,399][INFO][epoch:87	loss:tensor(0.2331, device='cuda:0')]
[2019-02-25 21:11:40,825][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:11:55,677][INFO][epoch:88	loss:tensor(0.2304, device='cuda:0')]
[2019-02-25 21:11:56,076][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:12:11,106][INFO][epoch:89	loss:tensor(0.2362, device='cuda:0')]
